Artist,title,acousticness,tempo,danceability,energy,instrumentalness,speechiness
ABBA,Put On Your White Sombrero,0.31723,82.06,0.444035,0.69297,0.000076,0.02787
ABBA,I Do I Do I Do I Do I Do,0.13912,110.243,0.451532,0.766632,0.000002,0.031369
ABBA,Öh vilka tider,0.639611,133.434,0.718856,0.65325,0,0.032489
ABBA,Eagle,0.000464,78.914,0.372408,0.715011,0.000234,0.0352
ABBA,I Am The City,0.18326,133.927,0.770716,0.858818,0.00166,0.033598
ABBA,Waterloo,0.267419,137.289,0.361021,0.889487,0.000005,0.114109
ABBA,Ring Ring,0.001669,132.375,0.336416,0.708847,0,0.049718
ABBA,Hole In Your Soul,0.058518,154.945,0.403579,0.737142,0.025155,0.07732
ABBA,On And On And On,0.252843,128.025,0.706084,0.917833,0.054223,0.027682
ABBA,Fernando (Spanish Version),0.454045,108.386,0.354758,0.55196,0,0.030483
ABBA,Thank You For The Music (Doris Day Mix),0.684631,98.897,0.66092,0.439614,0,0.027473
ABBA,King Kong Song,0.333242,154.47,0.510251,0.878179,0.000004,0.03935
ABBA,The Name Of The Game / Eagle,0.095684,80.025,0.414223,0.911491,0.003257,0.040803
ABBA,Dancing Queen,0.054645,107.586,0.418813,0.938933,0.000643,0.339369
ABBA,I Saw It In The Mirror,0.453678,108.892,0.751334,0.351895,0,0.034588
Opeth,White Cluster,0.000052,128.231,0.294368,0.947124,0.08395,0.139509
Opeth,White Cluster,0.000052,128.231,0.294368,0.947124,0.08395,0.139509
Opeth,Marrow Of The Earth,0.985323,80.106,0.631296,0.042632,0.908113,0.040001
Opeth,April Ethereal,0.000014,94.734,0.19058,0.963244,0.571268,0.095561
Opeth,Into the Frost of Winter,0.015326,139.009,0.188946,0.87222,0.063203,0.078197
Opeth,Cusp Of Eternity,0.00002,115.019,0.463766,0.926331,0.753756,0.048723
Opeth,Blackwater Park (live),0.001514,91.096,0.180909,0.831297,0.320157,0.052096
Opeth,Wreath,0.000055,101.13,0.423826,0.980913,0.724746,0.05527
Opeth,The Apostle in Triumph,0.001054,105.929,0.293419,0.835295,0.305711,0.05545
Opeth,Deliverance,0.000283,99.006,0.324551,0.973062,0.703373,0.044971
Opeth,The Drapery Falls,0.000325,190.024,0.099527,0.826037,0.223683,0.064353
Opeth,In The Mist She Was Standing,0.000142,141.252,0.190458,0.959238,0.235989,0.206939
Opeth,Windowpane (Live),0.046798,78.027,0.226914,0.510155,0.385013,0.036917
Opeth,Deliverance (Live),0.000182,104.644,0.274812,0.931192,0.600874,0.054504
Opeth,Prologue,0.781012,149.437,0.203778,0.878313,0.703502,0.058615
Opeth,The Throat Of Winter,0.210715,135.051,0.410492,0.400397,0.197316,0.034638
